hour,load_kw,pv_kw,charge_kw,discharge_kw,grid_import_kw,export_kw,curtailment_kw,generator_kw,fuel_liters,unserved_critical_kw,shed_noncritical_kw,stored_kwh,battery_loss_kwh,balance_error_kw,import_rate
0,15.33551020337665,0.0,0.0,0.0,15.33551020337665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
1,13.859560504501356,0.0,0.0,0.0,13.859560504501356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
2,15.85385631977333,0.0,0.0,0.0,15.85385631977333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
3,16.19946193803781,0.0,0.0,0.0,16.19946193803781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
4,13.549603956748236,0.0,0.0,0.0,13.549603956748236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
5,15.699952377557793,0.0,0.0,0.0,15.699952377557793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
6,19.88625639981237,0.0,0.0,0.0,19.88625639981237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
7,22.321429499821456,0.0,0.0,0.0,22.321429499821456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
8,23.981547712323025,0.0,0.0,0.0,23.981547712323025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
9,21.731244687135458,0.0,0.0,0.0,21.731244687135458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
10,20.71543778481828,0.0,0.0,0.0,20.71543778481828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
11,18.00424071381238,0.0,0.0,0.0,18.00424071381238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
12,15.854781220788917,0.0,0.0,0.0,15.854781220788917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
13,16.77111885543813,0.0,0.0,0.0,16.77111885543813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
14,16.786150761305578,0.0,0.0,0.0,16.786150761305578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
15,17.438587620315655,0.0,0.0,0.0,17.438587620315655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
16,22.76353610156637,0.0,0.0,0.0,22.76353610156637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29
17,26.768858080863996,0.0,0.0,0.0,26.768858080863996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29
18,40.863082680541964,0.0,0.0,0.0,40.863082680541964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29
19,41.94508153309557,0.0,0.0,0.0,41.94508153309557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29
20,39.69343773727497,0.0,0.0,0.0,39.69343773727497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29
21,34.074585269771006,0.0,0.0,0.0,34.074585269771006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
22,23.702384295970496,0.0,0.0,0.0,23.702384295970496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
23,18.210283877845644,0.0,0.0,0.0,18.210283877845644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
24,14.529160811267356,0.0,0.0,0.0,14.529160811267356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
25,14.61619611582885,0.0,0.0,0.0,14.61619611582885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
26,15.613900108494912,0.0,0.0,0.0,15.613900108494912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
27,15.56682922080796,0.0,0.0,0.0,15.56682922080796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
28,16.149748537023044,0.0,0.0,0.0,16.149748537023044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
29,17.606252938415015,0.0,0.0,0.0,17.606252938415015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
30,22.101444317285864,0.0,0.0,0.0,22.101444317285864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
31,22.222239833376317,0.0,0.0,0.0,22.222239833376317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
32,23.436561983599052,0.0,0.0,0.0,23.436561983599052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
33,21.77444300639373,0.0,0.0,0.0,21.77444300639373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
34,20.425677377302215,0.0,0.0,0.0,20.425677377302215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
35,18.39053910683352,0.0,0.0,0.0,18.39053910683352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
