hour,load_kw,pv_kw,charge_kw,discharge_kw,grid_import_kw,export_kw,curtailment_kw,generator_kw,fuel_liters,unserved_critical_kw,shed_noncritical_kw,stored_kwh,battery_loss_kwh,balance_error_kw,import_rate
0,15.33551020337665,0.0,0.0,0.0,15.33551020337665,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.11
1,13.859560504501356,0.0,0.0,0.0,13.859560504501356,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.11
2,15.85385631977333,0.0,0.0,0.0,15.85385631977333,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.11
3,16.19946193803781,0.0,0.0,0.0,16.19946193803781,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.11
4,13.549603956748236,0.0,0.0,0.0,13.549603956748236,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.11
5,15.699952377557793,0.0,0.0,0.0,15.699952377557793,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.11
6,19.88625639981237,0.0,0.0,0.0,19.88625639981237,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.11
7,22.321429499821456,11.128614324785952,0.0,0.0,11.192815175035504,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.11
8,23.981547712323025,21.498831974242464,0.0,0.0,2.482715738080561,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.11
9,21.731244687135458,30.40393975315404,8.672695066018584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.239060312717655,0.43363475330092954,0.0,0.11
10,20.71543778481828,37.237069282774264,16.521631497955983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.934610235775835,0.8260815748977999,0.0,0.11
11,25.00424071381238,41.53255407793999,16.528313364127612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.63650793169707,0.8264156682063813,0.0,0.11
12,22.854781220788915,42.997663948484934,20.14288272769602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.77224652300828,1.007144136384802,0.0,0.11
13,23.77111885543813,41.53255407793999,17.761435222501863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.64560998438505,0.8880717611250939,0.0,0.11
14,23.786150761305578,37.23706928277427,4.583568437489425,0.0,0.0,8.867350083979268,0.0,0.0,0.0,0.0,0.0,100.0,0.22917842187447143,0.0,0.11
15,17.438587620315655,30.40393975315404,0.0,0.0,0.0,12.965352132838387,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.11
16,22.76353610156637,21.498831974242464,0.0,1.2647041273239061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.66873249755378,0.06656337512231078,0.0,0.29
17,26.768858080863996,11.128614324785964,0.0,15.640243756078032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.20531801747164,0.8231707240041061,0.0,0.29
18,33.863082680541964,5.265695152532563e-15,0.0,30.0,3.8630826805419574,0.0,0.0,0.0,0.0,0.0,0.0,50.626370649050585,1.5789473684210509,0.0,0.29
19,34.94508153309557,0.0,0.0,29.095052116598055,5.850029416497513,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.5313185324525276,0.0,0.29
20,32.69343773727497,0.0,0.0,0.0,32.69343773727497,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.29
21,27.07458526977101,0.0,0.0,0.0,27.07458526977101,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.11
22,23.702384295970496,0.0,0.0,0.0,23.702384295970496,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.11
23,18.210283877845644,0.0,0.0,0.0,18.210283877845644,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.11
24,14.529160811267356,0.0,0.0,0.0,14.529160811267356,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.11
25,14.61619611582885,0.0,0.0,0.0,14.61619611582885,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.11
26,15.613900108494912,0.0,0.0,0.0,15.613900108494912,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.11
27,15.56682922080796,0.0,0.0,0.0,15.56682922080796,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.11
28,16.149748537023044,0.0,0.0,0.0,16.149748537023044,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.11
